word,syl,freq,len,complexity,label
ad,1,5.75e-05,2,0.6015764260249554,Hard
adam,2,3.72e-05,4,0.55,Hard
adams,2,1.78e-05,5,0.6066176470588236,Hard
aer,1,5.37e-07,3,0.46590909090909083,Hard
ak,1,5.37e-06,2,0.5588235294117647,Hard
aleph,2,2.45e-07,5,0.5568181818181818,Hard
app,1,7.24e-05,3,0.5588630323924442,Hard
aaron,2,1.7e-05,5,0.2976399331662489,Medium
abel,2,3.02e-06,4,0.2963800904977375,Medium
abner,2,6.92e-07,5,0.4411764705882353,Hard
abraham,3,9.55e-06,7,0.25636574074074076,Medium
absorption,3,4.57e-06,10,0.2058823529411764,Easy
accession,3,2.51e-06,9,0.483734827264239,Hard
act,1,0.0002,3,0.3026315789473685,Medium
aden,2,1.26e-06,4,0.3833333333333333,Hard
adjournment,3,4.57e-07,11,0.4125,Hard
adriatic,3,8.51e-07,8,0.390625,Hard
aegean,2,8.51e-07,6,0.5333333333333333,Hard
aeneas,2,3.63e-07,6,0.5588235294117647,Hard
affairs,2,4.68e-05,7,0.23015873015873015,Easy
afghanistan,4,1.7e-05,11,0.1833333333333333,Easy
africa,3,8.32e-05,6,0.2142857142857143,Easy
african,3,6.61e-05,7,0.2361111111111111,Easy
agee,2,2.69e-07,4,0.675,Hard
agency,3,7.41e-05,6,0.25,Medium
agenda,3,2e-05,6,0.2707282913165266,Medium
agreement,3,7.59e-05,9,0.23018382352941175,Easy
agreements,3,1.32e-05,10,0.1944444444444444,Easy
agriculture,5,2.34e-05,11,0.2583333333333333,Medium
ahab,2,4.9e-07,4,0.4389880952380952,Hard
ahi,2,2.51e-07,3,0.4558823529411765,Hard
ain,1,2.88e-06,3,0.5909090909090909,Hard
albania,3,2.24e-06,7,0.4,Hard
allegation,4,3.16e-06,10,0.4583333333333333,Hard
alliance,3,2.51e-05,8,0.2857142857142857,Medium
almighty,3,5.25e-06,8,0.22933201058201055,Easy
alterations,4,3.47e-06,11,0.5,Hard
amending,3,1e-06,8,0.4166666666666666,Hard
amendment,3,2.4e-05,9,0.31062500000000004,Medium
amendments,3,6.17e-06,10,0.275,Medium
amsterdam,3,1.07e-05,9,0.3083333333333333,Medium
analysis,4,8.13e-05,8,0.25735294117647056,Medium
animal,3,6.46e-05,6,0.1964285714285714,Easy
animals,3,6.92e-05,7,0.1944444444444444,Easy
anna,2,2.34e-05,4,0.3333333333333333,Medium
annas,2,1.55e-07,5,0.35797213622291024,Hard
anne,2,2.09e-05,4,0.375,Hard
antes,2,1.41e-07,5,0.5166666666666667,Hard
applause,3,6.76e-06,8,0.2941176470588235,Medium
appointments,3,8.91e-06,12,0.3472222222222222,Medium
approval,3,3.16e-05,8,0.2696969696969697,Medium
april,2,0.000155,5,0.1346153846153846,Easy
aquila,3,6.03e-07,6,0.6240079365079365,Hard
ara,2,1.62e-06,3,0.5333333333333333,Hard
arabians,3,1.55e-07,8,0.3026315789473685,Medium
argentina,4,1.66e-05,9,0.2777777777777778,Medium
arias,2,1.26e-06,5,0.42692307692307685,Hard
armies,2,7.94e-06,6,0.31785714285714284,Medium
armstrong,2,7.94e-06,9,0.234375,Easy
artemis,3,1.12e-06,7,0.6666666666666666,Hard
arthur,2,2.57e-05,6,0.4444444444444444,Hard
article,3,0.000123,7,0.2754934210526316,Medium
ashkenazi,4,3.31e-07,9,0.6111111111111112,Hard
asia,2,4.47e-05,4,0.16151960784313724,Easy
associations,4,1.05e-05,12,0.2361111111111111,Easy
assyrian,3,9.12e-07,8,0.5333333333333333,Hard
athenians,3,5.25e-07,9,0.4499999999999999,Hard
auditors,3,1.78e-06,8,0.3518382352941177,Hard
authorisation,5,1.07e-06,13,0.3823529411764705,Hard
autonomous,4,7.08e-06,10,0.3970588235294118,Hard
axel,2,1.91e-06,4,0.3666666666666667,Hard
ayatollah,4,8.32e-07,9,0.5555555555555556,Hard
azores,3,4.68e-07,6,0.49183006535947715,Hard
b,1,0.000224,1,0.4174603174603175,Hard
bg,1,2.09e-06,2,0.47348856209150325,Hard
baal,1,7.59e-07,4,0.4919193210881191,Hard
babylon,3,3.47e-06,7,0.3194444444444444,Medium
balkan,2,1.55e-06,6,0.3928571428571429,Hard
balkans,2,1.78e-06,7,0.33333333333333326,Medium
baltic,2,3.72e-06,6,0.40238095238095234,Hard
bank,1,0.000145,4,0.2,Easy
barabbas,3,1.32e-07,8,0.4285714285714286,Hard
barcelona,4,1.7e-05,9,0.375,Hard
behold,2,5.75e-06,6,0.2266865079365079,Easy
belgians,2,7.41e-07,8,0.3472222222222222,Medium
benjamin,3,1.45e-05,8,0.25848039215686275,Medium
berger,2,2.24e-06,6,0.4431818181818182,Hard
beth,1,7.41e-06,4,0.3192007797270955,Medium
bethel,2,1.29e-06,6,0.5260457516339869,Hard
blanco,2,1.15e-06,6,0.49342105263157887,Hard
booth,1,1.26e-05,5,0.402157738095238,Hard
